Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,TravelAgency\TravelAgency.csproj,File,TravelAgency\TravelAgency.csproj,,,Microsoft.AspNetCore.Razor 2.2.0,,,,,"Microsoft.AspNetCore.Razor, 2.2.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,TravelAgency\TravelAgency.csproj,File,TravelAgency\TravelAgency.csproj,,,Microsoft.EntityFrameworkCore 6.0.0,,,,,"Microsoft.EntityFrameworkCore, 6.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,TravelAgency\TravelAgency.csproj,File,TravelAgency\TravelAgency.csproj,,,Microsoft.EntityFrameworkCore.Design 6.0.0,,,,,"Microsoft.EntityFrameworkCore.Design, 6.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,TravelAgency\TravelAgency.csproj,File,TravelAgency\TravelAgency.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 6.0.0,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 6.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,TravelAgency\TravelAgency.csproj,File,TravelAgency\TravelAgency.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 6.0.0,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 6.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,TravelAgency\TravelAgency.csproj,File,TravelAgency\TravelAgency.csproj,,,Microsoft.EntityFrameworkCore.Tools 6.0.0,,,,,"Microsoft.EntityFrameworkCore.Tools, 6.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,TravelAgency\TravelAgency.csproj,File,TravelAgency\TravelAgency.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 6.0.0,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 6.0.0  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,TravelAgency\TravelAgency.csproj,File,TravelAgency\TravelAgency.csproj,,,Microsoft.AspNetCore.Razor 2.2.0,,,,,"Microsoft.AspNetCore.Razor, 2.2.0  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.AspNetCore.Razor, and replace with new package Microsoft.AspNetCore.Razor, 2.3.0"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,TravelAgency\TravelAgency.csproj,File,TravelAgency\TravelAgency.csproj,,,RestSharp 111.4.1,,,,,"RestSharp, 111.4.1  Recommendation:  RestSharp, 114.0.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,TravelAgency\TravelAgency.csproj,File,TravelAgency\TravelAgency.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TravelAgency\TravelAgency.csproj,File,TravelAgency\Startup.cs,35,16,M:System.TimeSpan.FromMinutes(System.Double),,,,,options.IdleTimeout = TimeSpan.FromMinutes(400);
